External code,VendorName,Vendor,Centre,ED,ES
A0S9V9,Siemens,A,1,0,9
A1D0Q7,Philips,B,2,0,9
A1D9Z7,Siemens,A,1,22,11
A1E9Q1,Siemens,A,1,0,9
A1K2P5,Canon,D,5,33,11
A1O8Z3,Philips,B,3,23,10
A2C0I1,Siemens,A,1,0,7
A2E3W4,GE,C,4,0,0
A2H5K9,Philips,B,2,29,8
A2L1N6,Siemens,A,1,0,12
A2N8V0,Siemens,A,1,0,9
A3B7E5,Philips,B,2,29,12
A3H1O5,Siemens,A,1,0,12
A3H5R1,GE,C,4,24,6
A3P9V7,Canon,D,5,27,13
A4A8V9,Philips,B,3,0,10
A4B5U4,Siemens,A,1,0,10
A4B9O6,Canon,D,5,0,11
A4J4S4,Siemens,A,1,0,7
A4K8R4,Canon,D,5,24,11
A4R4T0,Canon,D,5,21,8
A4U9V5,Siemens,A,1,0,8
A5C2D2,Philips,B,3,24,9
A5D0G0,Philips,B,2,0,10
A5E0T8,Philips,B,3,24,8
A5H1Q2,GE,C,4,0,9
A5P5W0,Canon,D,5,33,10
A5Q1W8,Canon,D,5,27,10
A6A8H0,Canon,D,5,27,8
A6B5G9,Siemens,A,1,0,11
A6B7Y4,Canon,D,5,1,10
A6D5F9,Siemens,A,1,0,11
A6J0Y2,Philips,B,2,27,13
A6M1Q7,Philips,B,2,29,11
A7D9L8,Siemens,A,1,0,11
A7E4J0,Philips,B,3,1,12
A7F4G2,Canon,D,5,25,10
A7G0P5,Philips,B,2,28,9
A7M7P8,Siemens,A,1,0,9
A7O4T6,Siemens,A,1,0,10
A8C5E9,GE,C,4,24,9
A8C9H8,GE,C,4,0,0
A8C9U8,Philips,B,2,28,9
A8E1F4,Philips,B,3,24,9
A8I1U6,GE,C,4,0,0
A9C5P4,Philips,B,2,29,8
A9E3G9,Philips,B,3,23,8
A9F3T5,GE,C,4,24,8
A9J5Q7,Philips,B,3,24,7
A9J8W7,Philips,B,2,29,10
A9L7Y7,GE,C,4,24,5
B0H7V0,Siemens,A,1,0,9
B0I2Z0,Siemens,A,1,0,8
B0L3Y2,GE,C,4,24,10
B0N3W8,Philips,B,2,28,15
B1G9J3,Philips,B,2,29,10
B1K7U1,GE,C,4,0,0
B2C2Z7,Siemens,A,1,0,8
B2D9M2,Siemens,A,1,0,8
B2D9O2,Philips,B,2,29,13
B2F4K5,Philips,B,2,29,10
B2G5R2,Siemens,A,1,0,7
B2L0L2,GE,C,4,24,8
B3D0N1,Philips,B,3,24,8
B3E2W8,Canon,D,5,23,9
B3F0V9,Siemens,A,1,0,12
B3O1S0,Siemens,A,1,0,8
B3P3R1,Siemens,A,1,0,11
B3S2Z4,Philips,B,2,28,11
B4E1K1,Philips,B,3,0,9
B4I8Z7,GE,C,4,0,0
B4O3V3,Siemens,A,1,0,6
B4S1Y2,Philips,B,2,29,10
B5F8L9,Siemens,A,1,0,8
B5L5Y4,Philips,B,3,24,10
B5T6V0,Philips,B,3,0,10
B6D0U7,Philips,B,2,29,9
B6I0T4,Canon,D,5,33,10
B7F5P0,Philips,B,3,29,12
B8H5H6,Siemens,A,1,24,8
B8J7R4,Siemens,A,1,0,12
B8P5Q9,GE,C,4,23,9
B9E0Q1,Siemens,A,1,0,11
B9G4U2,Canon,D,5,28,8
B9H8N8,Siemens,A,1,0,10
B9O1Q0,Philips,B,2,29,11
C0K1P0,Siemens,A,1,0,9
C0L7V1,Canon,D,5,33,14
C0N8P4,GE,C,4,24,9
C0S7W0,Philips,B,3,24,7
C0W2Y5,GE,C,4,0,0
C1G5Q0,Philips,B,3,24,8
C1K8P5,Siemens,A,1,0,8
C2J0K3,Siemens,A,1,0,9
C2L5P7,Philips,B,2,28,12
C2M6P8,Philips,B,3,24,8
C3I2K3,Philips,B,2,29,11
C4E9I1,Siemens,A,1,0,8
C4K8M1,GE,C,4,0,0
C4R8T7,Philips,B,2,28,8
C4S8W9,Philips,B,3,24,8
C5L0R0,Canon,D,5,29,12
C5M4S2,Siemens,A,1,0,9
C5Q2Y5,GE,C,4,0,0
C6E0F9,Siemens,A,1,0,8
C6J5P1,Siemens,A,1,0,10
C6U4W8,Siemens,A,1,0,9
C7L8Z8,Philips,B,2,29,9
C7M6W0,GE,C,4,24,8
C8I7P7,Philips,B,2,29,11
C8J7L5,GE,C,4,24,7
C8O0P2,GE,C,4,24,8
C8P3S7,Siemens,A,1,0,8
C8V5W8,GE,C,4,0,0
D0E2W0,GE,C,4,0,0
D0H9I4,Philips,B,2,0,10
D0R0R9,Siemens,A,1,0,11
D1H2O9,GE,C,4,24,8
D1H6U2,Siemens,A,1,0,8
D1J5P6,Siemens,A,1,0,13
D1L4Q9,Philips,B,2,29,10
D1L6T4,Canon,D,5,27,10
D1M1S6,Siemens,A,1,0,10
D1R0Y5,Philips,B,3,24,9
D1S5T8,Canon,D,5,23,14
D2U0V0,GE,C,4,24,10
D3D4Y5,Siemens,A,1,0,9
D3F3O5,Siemens,A,1,24,10
D3F9H9,Siemens,A,1,24,8
D3K5Q2,GE,C,4,11,0
D3O9U9,Siemens,A,1,0,10
D3Q0W9,Philips,B,3,24,10
D4M3Q2,Siemens,A,1,0,9
D4N6W6,Siemens,A,1,0,10
D5G3W8,GE,C,4,23,8
D6E9U8,Philips,B,2,0,12
D6H6O2,Philips,B,2,29,9
D6N7Q8,GE,C,4,24,9
D7M8P9,GE,C,4,24,8
D7T3V8,GE,C,4,24,7
D8E4F4,Siemens,A,1,0,10
D8O0W2,Philips,B,3,24,8
D9F5P1,Siemens,A,1,0,10
D9I8O7,Philips,B,3,29,11
D9L1Z3,Siemens,A,1,0,12
E0J2Z9,Canon,D,5,25,11
E0J7L9,Siemens,A,1,0,9
E0M3U7,Siemens,A,1,0,9
E0O0S0,Siemens,A,1,0,11
E1L7M3,Canon,D,5,1,12
E1L8Y4,Philips,B,3,24,10
E3F2U7,GE,C,4,0,7
E3F5U2,GE,C,4,24,8
E3I4V1,GE,C,4,0,0
E3L8U8,Philips,B,3,29,9
E3T0Z2,Philips,B,2,29,10
E4H7L4,Canon,D,5,28,10
E4I9O7,Philips,B,3,29,10
E4M2Q7,Philips,B,3,0,8
E4O8P3,Philips,B,2,29,12
E4W8Z7,Philips,B,2,29,10
E5E6O8,Philips,B,2,29,10
E5F5V7,Philips,B,3,0,9
E5J6L2,Canon,D,5,29,11
E5S7W7,Philips,B,2,28,12
E6H0V9,Canon,D,5,33,12
E6J4N8,Philips,B,2,29,11
E6M6P2,GE,C,4,24,7
E7L0N6,GE,C,4,22,8
E9H1U4,Siemens,A,1,0,10
E9H2K7,Philips,B,2,29,11
E9L1W5,Philips,B,3,24,9
E9L4N2,GE,C,4,0,0
E9V4Z8,Siemens,A,1,0,8
E9V9Z2,GE,C,4,28,10
F0I6U8,GE,C,4,10,23
F0J2R8,Philips,B,2,29,9
F0K4T6,Siemens,A,1,0,8
F1F3I6,Philips,B,2,28,8
F1K2S9,GE,C,4,23,7
F2H5S1,Siemens,A,1,24,10
F3G5K5,Siemens,A,1,24,12
F3L0M1,GE,C,4,0,0
F4K3S1,Philips,B,3,24,8
F5I1Z8,GE,C,4,23,8
F5I9Q2,Philips,B,2,29,11
F6J9L9,Canon,D,5,29,10
F8N2S1,Philips,B,3,24,8
F9M1R2,Canon,D,5,29,11
G0H4J3,Philips,B,2,29,10
G0I6P3,Philips,B,3,29,12
G0I7Z6,GE,C,4,0,0
G1J5K3,Canon,D,5,24,13
G1K1V3,Philips,B,2,29,11
G1N6S7,Philips,B,2,0,12
G2J1M5,Philips,B,2,29,9
G2M7W4,Philips,B,3,24,9
G2O2S6,Philips,B,2,29,10
G3M5S4,Philips,B,3,29,10
G4I7V2,Canon,D,5,33,9
G4K8P3,GE,C,4,0,0
G4L8Z7,Philips,B,2,29,8
G4S9U3,Siemens,A,1,0,11
G4U3U8,GE,C,4,0,0
G5P4U3,Siemens,A,1,0,9
G6T0Z6,GE,C,4,0,0
G7I5V7,Siemens,A,1,0,10
G7N8R7,Philips,B,2,28,9
G7Q2W0,Philips,B,2,0,8
G7S6V0,Siemens,A,1,0,8
G8K0M3,Canon,D,5,25,10
G8L0Z0,Canon,D,5,3,10
G8N2U5,Philips,B,3,23,9
G8R0Z9,GE,C,4,21,8
G9L0O9,Philips,B,2,29,10
G9N5V9,Siemens,A,1,0,11
H0K3Q4,Philips,B,3,24,9
H1I3W0,Siemens,A,1,0,9
H1J5W8,Philips,B,2,3,15
H1M5Y6,Philips,B,2,29,8
H1N7P7,GE,C,4,0,0
H1N8S6,Siemens,A,1,0,10
H1W2Y1,Philips,B,2,29,10
H2M9S1,GE,C,4,23,8
H3R6S9,GE,C,4,24,9
H3U1Y1,Philips,B,3,24,8
H4I2T8,Philips,B,3,24,8
H5N0P0,Siemens,A,1,0,8
H6I0I6,Philips,B,2,28,10
H6P7T1,Canon,D,5,25,12
H7I4J3,Philips,B,3,24,8
H7K5U5,Philips,B,3,24,8
H7L8R8,GE,C,4,23,9
H7N4V9,Philips,B,2,0,12
H7P5Z4,GE,C,4,24,9
H8K2K7,Philips,B,3,23,7
H9J6L5,GE,C,4,0,0
I0I2J8,Philips,B,2,21,7
I0J5U3,Philips,B,2,28,10
I2J6Z6,Siemens,A,1,0,7
I2K2Y8,Philips,B,2,29,8
I4J8P4,GE,C,4,0,0
I4L4V7,Canon,D,5,22,9
I4R8V6,GE,C,4,24,8
I5L3S2,Siemens,A,1,0,10
I6N3P3,Philips,B,2,29,10
I6P4R0,GE,C,4,18,11
I6T4W8,Philips,B,2,28,12
I7T3U1,Siemens,A,1,0,13
I7W4Y8,Philips,B,2,27,10
I8N8Y1,Canon,D,5,33,14
I8Z0Z6,GE,C,4,24,8
J1T9Y1,Siemens,A,1,0,12
J2S5T1,GE,C,4,0,0
J4J8Q3,Siemens,A,1,0,8
J4J9W6,Philips,B,2,29,11
J6K4V3,GE,C,4,21,3
J6K6P5,Siemens,A,1,0,9
J6M5O2,Canon,D,5,33,11
J6P5T8,Siemens,A,1,0,9
J8R5W2,Siemens,A,1,0,9
J9L4S2,Philips,B,3,29,13
J9L6N9,Philips,B,2,29,9
K2S1U6,Philips,B,2,29,12
K3P3Y6,Canon,D,5,32,11
K3R0Y7,GE,C,4,28,9
K4T7Y0,Siemens,A,1,24,12
K5K6N1,Philips,B,3,24,9
K5L2U3,Siemens,A,1,0,7
K5L4S1,Canon,D,5,27,10
K5M7V5,Canon,D,5,23,10
K5P0Y1,Siemens,A,1,0,9
K6N4N7,Siemens,A,1,0,8
K7L2Y6,Philips,B,2,29,10
K7N0R7,Canon,D,5,29,9
K7O3Q0,GE,C,4,23,10
K9N0W0,Philips,B,2,29,12
L1Q1Z5,Philips,B,2,0,15
L1Q9V8,Siemens,A,1,0,10
L2V5Z0,GE,C,4,3,17
L4Q2U3,Siemens,A,1,0,8
L5Q6T7,Philips,B,2,28,11
L5U7Y4,Canon,D,5,33,10
L6T2T5,Canon,D,5,1,18
L7Y7Z2,Philips,B,2,0,11
L8M2U8,Canon,D,5,0,11
L8N7P0,GE,C,4,23,9
L8N7Z0,Philips,B,3,29,9
M0P8U8,Philips,B,3,0,9
M1R4S1,Siemens,A,1,0,9
M2P1R1,Siemens,A,1,0,10
M2P5T8,Canon,D,5,0,11
M4P7Q6,Philips,B,2,2,13
M4T4V6,Philips,B,2,29,12
M6M9N1,GE,C,4,24,11
M6V2Y0,Philips,B,3,0,9
M8N3Z3,GE,C,4,0,0
N1P8Q9,Philips,B,2,29,10
N1S7Z2,GE,C,4,0,0
N2O7U5,Canon,D,5,18,7
N5S7Y1,Siemens,A,1,0,9
N7P3T8,Canon,D,5,25,10
N7V9W9,Philips,B,3,24,7
N7W6Z8,Canon,D,5,23,11
N8N9U0,Siemens,A,1,0,11
N9P5Z0,Philips,B,3,0,13
N9Q4T8,Canon,D,5,32,10
O0S9V7,Siemens,A,1,0,9
O1O9Y6,GE,C,4,0,0
O3R8Y5,Philips,B,2,0,8
O4O6U5,GE,C,4,24,8
O4T6Y7,Philips,B,2,0,13
O5U2U7,Canon,D,5,1,9
O7Q7U3,Canon,D,5,29,11
O9V8W5,Philips,B,2,29,12
P0S5Y0,Siemens,A,1,0,10
P3P9S5,Siemens,A,1,0,10
P3R6Y5,Philips,B,3,24,9
P3T5U1,GE,C,4,27,9
P5R1Y4,Siemens,A,1,0,9
P6U0Y0,Philips,B,2,29,10
P8V0Y7,Canon,D,5,27,9
P8W4Z0,Philips,B,3,0,12
P9S7W2,Philips,B,3,23,10
Q0Q1Y4,GE,C,4,0,0
Q0U0V5,Siemens,A,1,0,10
Q1Q3T1,GE,C,4,28,10
Q3Q6R8,Philips,B,3,24,9
Q3R9W7,Siemens,A,1,0,10
Q4W5Z8,Canon,D,5,33,10
Q5V8W3,GE,C,4,24,10
Q7V1Y5,Philips,B,2,0,11
R1R6Y8,GE,C,4,23,10
R2R7Z5,GE,C,4,23,8
R3V5W7,Canon,D,5,27,13
R4Y1Z9,Siemens,A,1,24,7
R6V5W3,GE,C,4,28,10
R8V0Y4,GE,C,4,24,7
S1S3Z7,Siemens,A,1,0,9
T2T9Z9,Siemens,A,1,0,13
T2Z1Z9,Canon,D,5,29,9
T9U9W2,Siemens,A,1,0,10
V4W8Z5,GE,C,4,19,9
W5Z4Z8,Philips,B,2,29,11
Y6Y9Z2,Philips,B,3,29,9
